Sprache,Schulart,Klassenstufe,Bundesland,Anzahl
Englisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Thüringen,7468
Englisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Baden-Württemberg,0
Englisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Bayern,0
Englisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Berlin,0
Englisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Brandenburg,8118
Englisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Bremen,44
Englisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Hamburg,0
Englisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Hessen,1085
Englisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Mecklenburg-Vorpommern,5723
Englisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Niedersachsen,15520
Englisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Nordrhein-Westfalen,9980
Englisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Rheinland-Pfalz,16726
Englisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Saarland,11
Englisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Sachsen,17279
Englisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Sachsen-Anhalt,8349
Englisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Schleswig-Holstein,3844
Englisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Thüringen,8107
Englisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Baden-Württemberg,0
Englisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Bayern,0
Englisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Berlin,0
Englisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Brandenburg,8317
Englisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Bremen,46
Englisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Hamburg,0
Englisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Hessen,1079
Englisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Mecklenburg-Vorpommern,5754
Englisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Niedersachsen,10294
Englisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Nordrhein-Westfalen,3055
Englisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Rheinland-Pfalz,17231
Englisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Saarland,2369
Englisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Sachsen,17746
Englisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Sachsen-Anhalt,9115
Englisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Schleswig-Holstein,4696
Englisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Thüringen,7997
Englisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Baden-Württemberg,0
Englisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Bayern,0
Englisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Berlin,0
Englisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Brandenburg,8079
Englisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Bremen,564
Englisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Hamburg,0
Englisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Hessen,149
Englisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Mecklenburg-Vorpommern,4321
Englisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Niedersachsen,0
Englisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Nordrhein-Westfalen,1423
Englisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Rheinland-Pfalz,11989
Englisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Saarland,1593
Englisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Sachsen,14639
Englisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Sachsen-Anhalt,7641
Englisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Schleswig-Holstein,3084
Englisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Thüringen,6326
Englisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Baden-Württemberg,0
Englisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Bayern,0
Englisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Berlin,0
Englisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Brandenburg,0
Englisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Bremen,0
Englisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Hamburg,0
Englisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Hessen,0
Englisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Mecklenburg-Vorpommern,0
Englisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Niedersachsen,721
Englisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Nordrhein-Westfalen,336
Englisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Rheinland-Pfalz,0
