Jahrgangsstufe,Schulart,Geschlecht,bundesland,anzahl
Klassenstufe 2,Freie Waldorfschulen,weiblich,Sachsen-Anhalt,45
Klassenstufe 2,Freie Waldorfschulen,weiblich,Schleswig-Holstein,172
Klassenstufe 2,Freie Waldorfschulen,weiblich,Thüringen,79
Klassenstufe 2,Förderschulen,männlich,Baden-Württemberg,2644
Klassenstufe 2,Förderschulen,männlich,Bayern,2900
Klassenstufe 2,Förderschulen,männlich,Berlin,322
Klassenstufe 2,Förderschulen,männlich,Brandenburg,212
Klassenstufe 2,Förderschulen,männlich,Bremen,20
Klassenstufe 2,Förderschulen,männlich,Hamburg,203
Klassenstufe 2,Förderschulen,männlich,Hessen,945
Klassenstufe 2,Förderschulen,männlich,Mecklenburg-Vorpommern,190
Klassenstufe 2,Förderschulen,männlich,Niedersachsen,1152
Klassenstufe 2,Förderschulen,männlich,Nordrhein-Westfalen,4944
Klassenstufe 2,Förderschulen,männlich,Rheinland-Pfalz,611
Klassenstufe 2,Förderschulen,männlich,Saarland,112
Klassenstufe 2,Förderschulen,männlich,Sachsen,945
Klassenstufe 2,Förderschulen,männlich,Sachsen-Anhalt,449
Klassenstufe 2,Förderschulen,männlich,Schleswig-Holstein,83
Klassenstufe 2,Förderschulen,männlich,Thüringen,285
Klassenstufe 2,Förderschulen,weiblich,Baden-Württemberg,1206
Klassenstufe 2,Förderschulen,weiblich,Bayern,1519
Klassenstufe 2,Förderschulen,weiblich,Berlin,272
Klassenstufe 2,Förderschulen,weiblich,Brandenburg,103
Klassenstufe 2,Förderschulen,weiblich,Bremen,6
Klassenstufe 2,Förderschulen,weiblich,Hamburg,75
Klassenstufe 2,Förderschulen,weiblich,Hessen,399
Klassenstufe 2,Förderschulen,weiblich,Mecklenburg-Vorpommern,62
Klassenstufe 2,Förderschulen,weiblich,Niedersachsen,442
Klassenstufe 2,Förderschulen,weiblich,Nordrhein-Westfalen,2059
Klassenstufe 2,Förderschulen,weiblich,Rheinland-Pfalz,288
Klassenstufe 2,Förderschulen,weiblich,Saarland,41
Klassenstufe 2,Förderschulen,weiblich,Sachsen,485
Klassenstufe 2,Förderschulen,weiblich,Sachsen-Anhalt,153
Klassenstufe 2,Förderschulen,weiblich,Schleswig-Holstein,41
Klassenstufe 2,Förderschulen,weiblich,Thüringen,107
Klassenstufe 3,Grundschulen,männlich,Baden-Württemberg,41381
Klassenstufe 3,Grundschulen,männlich,Bayern,53593
Klassenstufe 3,Grundschulen,männlich,Berlin,16511
