"name","id","official_id","address","school_type","school_type_entity","fax","state","phone","full_time_school","lon","lat"
"Salzmannschule","HE-3142-0","3142","Schwanheimer Straße 23, 60528 Frankfurt am Main","Hauptschule","Hauptschule","069/671038","HE","069/67725435",false,8.644544,50.088049
"Schwanthalerschule","HE-3143-0","3143","Schwanthaler Straße 63, 60596 Frankfurt am Main","Hauptschule","Hauptschule","069/21236560","HE","069/21235250",false,8.678815,50.099853
"Mühlbergschule","HE-3148-0","3148","Lettigkautweg 8, 60599 Frankfurt am Main","Grundschule","Grundschule","069/626632","HE","069/60605333",false,8.702688,50.099284
"Römerstadtschule","HE-3149-0","3149","In der Römerstadt 120 e, 60439 Frankfurt am Main","Grundschule","Grundschule","069/21232009","HE","069/21234978",false,8.632342,50.152899
"Schwarzburgschule","HE-3150-0","3150","Lenaustraße 81, 60318 Frankfurt am Main","Grundschule","Grundschule","069/21230750","HE","069/21233940",false,8.689267,50.127284
"Textorschule","HE-3151-0","3151","Textorstraße 104, 60596 Frankfurt am Main","Grundschule","Grundschule","069/21235495","HE","069/21235255",false,8.679373,50.099308
"Theobald-Ziegler-Schule","HE-3152-0","3152","Theobald-Ziegler-Straße 10, 60435 Frankfurt am Main","Grundschule","Grundschule","069/21230706","HE","069/21238755",false,8.690603,50.148099
"Willemerschule","HE-3153-0","3153","Willemerstraße 12, 60594 Frankfurt am Main","Grundschule","Grundschule","069/21238523","HE","069/21233529",false,8.693287,50.103973
"Zentgrafenschule","HE-3154-0","3154","Wilhelmshöher Straße 124, 60389 Frankfurt am Main","Grundschule","Grundschule","069/904736019","HE","069/904736020",false,8.72622,50.143163
"Erich Kästner Schule","HE-3155-0","3155","Praunheimer Weg 44, 60439 Frankfurt am Main","Grundschule","Grundschule","069/21232744","HE","069/21234515",false,8.62132,50.161146
"Brentanoschule","HE-3156-0","3156","Biedenkopfer Weg 33, 60489 Frankfurt am Main","Grundschule","Grundschule","069/78801458","HE","069/785106",false,8.603814,50.120257
"Ludwig-Weber-Schule","HE-3158-0","3158","Paul-Kirchhof-Platz 13, 65931 Frankfurt am Main","Grundschule","Grundschule","069/37562046","HE","069/371105",false,8.50464,50.087504
"Heinrich-Seliger-Schule","HE-3159-0","3159","Mierendorffstraße 8, 60320 Frankfurt am Main","Grundschule","Grundschule","069/21232733","HE","069/21235332",false,8.67326,50.142115
"Hellerhofschule","HE-3160-0","3160","Idsteiner Straße 47, 60326 Frankfurt am Main","Grundschule","Grundschule","069/21235211","HE","069/21235301",false,8.637477,50.105918
"Kirchnerschule","HE-3161-0","3161","Berger Straße 268, 60385 Frankfurt am Main","Grundschule","Grundschule","069/21237603","HE","069/21235293",false,8.711789,50.128372
"Liebfrauenschule","HE-3162-0","3162","Schäfergasse 23, 60313 Frankfurt am Main","Grundschule","Grundschule","069/21231441","HE","069/21235162",false,8.684891,50.116719
"Linnéschule","HE-3163-0","3163","Linnestraße 18-20, 60385 Frankfurt am Main","Grundschule","Grundschule","069/21230390","HE","069/21235275",false,8.711563,50.131052
"Merianschule","HE-3164-0","3164","Burgstraße 21, 60316 Frankfurt am Main","Grundschule","Grundschule","069/21239851","HE","069/21234479",false,8.696249,50.123493
"Albrecht-Dürer-Schule","HE-3165-0","3165","Sossenheimer Riedstraße 13, 65936 Frankfurt am Main","Grundschule","Grundschule","069/934938324","HE","069/93493830",false,8.569854,50.121077
"Berkersheimer Grundschule","HE-3166-0","3166","Berkersheimer Untergasse 18, 60435 Frankfurt am Main","Grundschule","Grundschule","069/54890087","HE","069/543508",false,8.696017,50.173943
"Boehleschule","HE-3167-0","3167","Jungmannstraße 3-5, 65933 Frankfurt am Main","Grundschule","Grundschule","069/38998376","HE","069/381540",false,8.605351,50.093751
"Bonifatiusschule","HE-3168-0","3168","Hamburger Allee 43, 60486 Frankfurt am Main","Grundschule","Grundschule","069/21235486","HE","069/21233527",false,8.645235,50.116007
"Fried-Lübbecke-Schule","HE-3169-0","3169","Im Uhrig 17, 60433 Frankfurt am Main","Grundschule","Grundschule","069/21238338","HE","069/21238754",false,8.654677,50.163645
"Frauenhofschule","HE-3170-0","3170","Niederräder Landstraße 60-62, 60528 Frankfurt am Main","Grundschule","Grundschule","069/21232711","HE","069/21233059",false,8.651433,50.088456
"Freiligrathschule","HE-3171-0","3171","Fachfeldstraße 32, 60386 Frankfurt am Main","Grundschule","Grundschule","069/21249111","HE","069/21248888",false,8.768753,50.120232
"Fridtjof-Nansen-Schule","HE-3172-0","3172","Dürkheimer Straße 47, 65934 Frankfurt am Main","Grundschule","Grundschule","069/21242905","HE","069/21245504",false,8.578535,50.098224
"Comeniusschule","HE-3173-0","3173","Burgstraße 59, 60389 Frankfurt am Main","Grundschule","Grundschule","069/21236612","HE","069/21233484",false,8.700545,50.126513
"Uhlandschule","HE-3174-0","3174","Ostendstraße 35, 60314 Frankfurt am Main","Grundschule","Grundschule","069/21231652","HE","069/21233530",false,8.697903,50.111833
"Kleebachschule","HE-3176-0","3176","Hüttenbergstraße 23, 35398 Gießen","Grundschule","Grundschule","06403/775848","HE","06403/71376",false,8.618075,50.548725
"Hedwig-Burgheim-Schule","HE-3177-0","3177","Großen-Busecker-Straße 20, 35394 Gießen","Grundschule","Grundschule"," 0641/42929","HE"," 0641/42929",false,8.753202,50.602572
"Isaak-Emil-Lichtigfeld-Schule","HE-3178-0","3178","Hebelstraße 15-19, 60318 Frankfurt am Main","Gymnasium ohne gymnasiale Oberstufe","Gymnasium","069/427289899","HE","069/427289800",false,8.692714,50.130152
"Konrad-Haenisch-Schule","HE-3179-0","3179","Lauterbacher Straße 2, 60386 Frankfurt am Main","Grundschule","Grundschule","069/4288002","HE","069/413900",false,8.751766,50.134387
"Konrad-Haenisch-Schule","HE-3179-1","3179","Lauterbacher Straße 2, 60386 Frankfurt am Main","Hauptschule","Hauptschule","069/4288002","HE","069/413900",false,8.751766,50.134387
"Konrad-Haenisch-Schule","HE-3179-2","3179","Lauterbacher Straße 2, 60386 Frankfurt am Main","Realschule","Realschule","069/4288002","HE","069/413900",false,8.751766,50.134387
"Eduard-Spranger-Schule","HE-3180-0","3180","Schaumburger Straße 66-68, 65936 Frankfurt am Main","Hauptschule","Hauptschule","069/345004","HE","069/30069899",false,8.562633,50.119058
"Eduard-Spranger-Schule","HE-3180-1","3180","Schaumburger Straße 66-68, 65936 Frankfurt am Main","Realschule","Realschule","069/345004","HE","069/30069899",false,8.562633,50.119058
"Carlo-Mierendorff-Schule","HE-3181-0","3181","Gravensteiner Platz 2, 60435 Frankfurt am Main","schulformübergreifende (integrierte) Gesamtschule","Integrierte Gesamtschule","069/21241940","HE","069/21241910",false,8.698644,50.155563
"Freiherr-vom-Stein-Schule","HE-3184-0","3184","Adolfstraße 22, 65343 Eltville am Rhein","Grundschule","Grundschule","06123/902794","HE","06123/5154",false,8.113114,50.028731
"Sonnenblumen-Schule","HE-3185-0","3185","Ringstraße 25, 65346 Eltville am Rhein","Grundschule","Grundschule","06123/902781","HE","06123/62111",false,8.091608,50.022883
