address,fax,full_time_school,id,lat,lon,name,official_id,phone,school_type,school_type_entity,state
"Hauffstr. 2, 28217 Bremen",0421/3989019,true,HB-803,53.093806,8.786098,St.-Marien-Schule,803,0421/3809370,Private Grundschule,Private Grundschule,HB
"Habenhauser Brückenstr. 1, 28279 Bremen",0421/83936-119,false,HB-805,53.051127,8.847751,Freie Evangelische Bekenntnisschule,805,0421/83936-100,Private weiterführende Schule (GS oder IHR mit Gy),Private weiterführende Schule (GS oder IHR mit Gy),HB
"Touler Str. 3, 28211 Bremen",0421/4914343,false,HB-806,53.082567,8.844277,Freie Waldorfschule Bremen,806,0421/491430,Private Waldorfschule,Waldorfschule,HB
"Schwarzer Weg 96, 28239 Bremen",0421/6190-123,true,HB-807,53.127314,8.7563,Privatschule Mentor gGmbH,807,0421/6190-121,Private weiterführende Schule (GS oder IHR mit Gy),Private weiterführende Schule (GS oder IHR mit Gy),HB
"Rockwinkeler Landstr. 41-43, 28355 Bremen",0421/250627,true,HB-809,53.083723,8.934888,Tobias-Schule Bremen,809,0421/259884,Private Sonderschule Lernen-Sprache-Verhalten,Private Sonderschule Lernen-Sprache-Verhalten,HB
"Dechanatstr. 9, 28195 Bremen",0421/3694-186,false,HB-810,53.073999,8.808928,St.-Johannis-Schule,810,0421/3694-180,Private weiterführende Schule (GS oder IHR mit Gy),Private weiterführende Schule (GS oder IHR mit Gy),HB
"Oberneulander Landstr. 143 A, 28355 Bremen",0421/223129-10,true,HB-811,53.102133,8.923963,Ökumenisches Gymnasium zu Bremen,811,0421/223129-0,Privates Durchgängiges Gymnasium,Privates Durchgängiges Gymnasium,HB
"Schongauer Str. 2, 28219 Bremen",0421/3965608,false,HB-812,53.108133,8.798714,Technikerschule Bremen,812,0421/393089,Private berufsbildende Schule,Private berufsbildende Schule,HB
"Universitätsallee 20, 28359 Bremen",0421/2383-237,false,HB-813,53.101984,8.860383,Berufsbildungswerk Bremen GmbH,813,0421/2383-221,Private berufsbildende Schule,Private berufsbildende Schule,HB
"Badgasteiner Str. 11, 28359 Bremen",0421/515779-55,true,HB-815,53.108846,8.8581,International School of Bremen,815,0421/515779-0,Private weiterführende Schule (GS oder IHR mit Gy),Private weiterführende Schule (GS oder IHR mit Gy),HB
"Graubündener Str. 4, 28325 Bremen",0421/411421,true,HB-816,53.067867,8.943102,Freie Waldorfschule,816,0421/411441,Private Waldorfschule,Waldorfschule,HB
"Steinsetzerstr. 6-8, 28279 Bremen",0421/83936-311,true,HB-817,53.047652,8.852438,Freie Evangelische Bekenntnisschule,817,0421/83936-300,Private Grundschule,Private Grundschule,HB
"Fresenbergstr. 26, 28779 Bremen",0421/4605211,false,HB-818,53.183949,8.574732,Freie Waldorfschule,818,0421/4605210,Private Waldorfschule,Waldorfschule,HB
"Waller Heerstr. 165, 28219 Bremen",0421/377-5010,false,HB-819,53.103576,8.784701,EUMAC-European Musical Academy,819,0421/377-5018,Private berufsbildende Schule,Private berufsbildende Schule,HB
