address,fax,full_time_school,id,lat,lon,name,official_id,phone,school_type,school_type_entity,state
"Ludwigsluster Straße 16, 19294 Eldena",038755 33533,false,MV-75135407,53.234134,11.419849,Grundschule Eldena,75135407,038755/20257,Grundschule,Grundschule,MV
"Schulstraße 5, 19230 Gammelin",038850/443,false,MV-75135408,53.512483,11.239752,Grundschule Gammelin,75135408,038850/427,Grundschule,Grundschule,MV
"Hufenweg 2a, 19300 Grabow",038756/28968,false,MV-75135410,53.274479,11.570074,"Grundschule ""Eldekinder"", Grabow",75135410,038756/28961,Grundschule,Grundschule,MV
"Schulstraße 5a, 19288 Kummer",038751/339800,false,MV-75135412,54.296797,12.882846,Grundschule Kummer,75135412,038751/20712,Grundschule,Grundschule,MV
"Kanalstraße 26, 19288 Ludwigslust",03874/6637941,false,MV-75135415,53.327557,11.495879,"Grundschule ""Fritz Reuter"", Ludwigslust",75135415,03874/23101,Grundschule,Grundschule,MV
"Schulstraße 1, 19294 Malliß",038750/22490,false,MV-75135418,53.210046,11.327451,Grundschule Malliß,75135418,038750/20021,Grundschule,Grundschule,MV
"Schulstraße 29, 19294 Neu Kaliß",038758/36632,false,MV-75135419,53.167714,11.294562,"Grundschule ""Viktor Bausch"", Neu Kaliß",75135419,038758/26270,Grundschule,Grundschule,MV
"Ernst-Thälmann-Straße 22, 19306 Neustadt-Glewe",038757/22825,false,MV-75135420,53.37944,11.58833,"Grundschule J. W. v. Goethe"", Neustadt-Glewe",75135420,038757/55430,Grundschule,Grundschule,MV
"Fährweg 8, 19075 Pampow",03865/787912,false,MV-75135422,53.56874,11.366877,Grundschule Pampow,75135422,03865/787910,Grundschule,Grundschule,MV
"Schulstraße 5, 19288 Ludwigslust",03874/444060,false,MV-75135424,53.308475,11.489706,Grundschule Ludwigslust,75135424,03874/22405,Grundschule,Grundschule,MV
"Zarrentiner Straße 14, 19258 Gresse",038842/21281,false,MV-75135439,53.429275,10.745666,"Grundschule ""Boizetal"" Gresse",75135439,038842/21204,Grundschule,Grundschule,MV
"Schulstraße 5, 19230 Hagenow",03883/614525,false,MV-75135442,53.433095,11.190905,"GS ""Mühlenteich"", Hagenow",75135442,03883/61450,Grundschule,Grundschule,MV
"Neue Straße 18, 19288 Wöbbelin",038753/80791,false,MV-75135450,53.40078,11.50744,Grundschule Wöbbelin,75135450,038753/80791,Grundschule,Grundschule,MV
"Friedensring 70, 19243 Wittenburg",038852/53541,false,MV-75135452,53.505905,11.068273,"Grundschule ""Am Friedensring"", Wittenburg",75135452,038852/52220,Grundschule,Grundschule,MV
"Schulstraße 4, 19073 Wittenförden",0385/6470742,false,MV-75135453,53.631995,11.328727,"Grundschule ""Dr. Otto Steinfatt"", Wittenförden",75135453,0385/6470226,Grundschule,Grundschule,MV
"Vogelstangenberg 6, 19412 Brüel",038483/293013,false,MV-75136001,53.731436,11.715866,Grundschule Brüel,75136001,038483/293010,Grundschule,Grundschule,MV
"Retgendorfer Weg 26, 19067 Cambs",03866/839369,false,MV-75136002,53.700084,11.526111,"Grundschule ""Wilhelm Busch"", Cambs",75136002,03866/369,Grundschule,Grundschule,MV
"Schulstraße 1, 19089 Crivitz",03863/502097,false,MV-75136003,53.580031,11.651254,"Grundschule ""Fritz Reuter"", Crivitz",75136003,03863/333540,Grundschule,Grundschule,MV
"Am Mattenstieg 1K, 19406 Dabel",038458/50402,false,MV-75136005,53.659919,11.900078,Grundschule Dabel,75136005,038485/20242,Grundschule,Grundschule,MV
"Parchimer Straße 39, 19374 Domsühl",038728/22565,false,MV-75136007,53.486769,11.776532,Grundschule Domsühl,75136007,038728/22547,Grundschule,Grundschule,MV
"Lange Straße 15, 19372 Groß Godems",038725/55443,false,MV-75136008,53.363301,11.795459,Grundschule Groß Godems,75136008,038725/20282,Grundschule,Grundschule,MV
"Lindenallee 10, 19067 Leezen",03866/470247,false,MV-75136009,53.662738,11.49432,ORI-Grundschule Leezen,75136009,03866/284,Grundschule,Grundschule,MV
"Schützenstraße 35, 19386 Lübz",038731/22725,false,MV-75136010,53.459519,12.044154,Grundschule Lübz,75136010,038731/22725,Grundschule,Grundschule,MV
"Parchimer Straße 9, 19372 Matzlow",038726/22874,false,MV-75136012,53.411624,11.725231,Grundschule Matzlow,75136012,038726/80101,Grundschule,Grundschule,MV
"Marx-Engels-Platz 2, 19374 Mestlin",038727/81337,false,MV-75136013,53.579263,11.925483,Grundschule Mestlin,75136013,038727/81337,Grundschule,Grundschule,MV
"Mönchhof 7, 19370 Parchim",03871/602854,false,MV-75136014,53.426809,11.84389,"Grundschule ""Adolf Diesterweg"", Parchim",75136014,03871/212709,Grundschule,Grundschule,MV
"Hans-Beimler-Straße 24b, 19370 Parchim",03871/421288,false,MV-75136015,53.423995,11.82271,"Grundschule ""West"", Parchim",75136015,03871/441006,Grundschule,Grundschule,MV
