"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Archenhold-Oberschule","Rudower Straße 7","12439","Berlin","Berlin","","","Schule ohne Rassismus - Schule mit Courage","0"
"Primo-Levi-Oberschule","Pistoriusstraße 133","13086","Berlin","Berlin","","","Schule ohne Rassismus - Schule mit Courage","0"
"Staatliches Berufliches Schulzentrum","Brauhausstraße 9 b","91522","Ansbach","Bayern","","","Schule ohne Rassismus - Schule mit Courage","0"
"Pirckheimer Gymnasium","Gibitzenhofstraße 151","90443","Nürnberg","Bayern","","","Schule ohne Rassismus - Schule mit Courage","0"
"Städtisches Gymnasium Bad Segeberg","Hamburger Straße 29 a","23795","Bad Segeberg","Schleswig-Holstein","","","Schule ohne Rassismus - Schule mit Courage","1"
"Ferdinand-Porsche-Gymnasium Zuffenhausen","Haldenrainstraße 136","70437","Stuttgart","Baden-Württemberg","","","Schule ohne Rassismus - Schule mit Courage","0"
"Gymnasium Neuenbürg","Waldenburgweg 10","75305","Neuenbürg","Baden-Württemberg","","","Schule ohne Rassismus - Schule mit Courage","0"
"Comenius-Gymnasium Deggendorf","Jahnstraße 8","94469","Deggendorf","Bayern","","","Schule ohne Rassismus - Schule mit Courage","1"
"Gymnasium Herzogenaurach","Burgstaller Weg 20","91074","Herzogenaurach","Bayern","","","Schule ohne Rassismus - Schule mit Courage","1"
"Gymnasium Eckental","Neunkirchener Straße 1","90542","Eckental","Bayern","","","Schule ohne Rassismus - Schule mit Courage","0"
"Hauptschule Eckental","Schulstraße 10","90542","Eckental","Bayern","","","Schule ohne Rassismus - Schule mit Courage","0"
"Staatliches Gymnasium ""Dr. Sulzberger""","Otto-Grotewohl-Straße 32","36433","Bad Salzungen","Thüringen","","","Schule ohne Rassismus - Schule mit Courage","1"
"11. Oberschule (Gymnasium) 09Y11","Pablo-Neruda-Straße 6-7","12559","Berlin","Berlin","","","Schule ohne Rassismus - Schule mit Courage","0"
