"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","id"
"Kepler Oberschule","","","","","","","21445"
"Kläre-Bloch-Schule","","","","","","","21445"
"Konrad-Wachsmann-Oberschule","","","","","","","21445"
"Max Delbrück Gymnasium","","","","","","","21445"
"Oberschule am Rathaus","","","","","","","21445"
"OSZ Bekleidung und Mode","","","","","","","21445"
"OSZ IMT","","","Berlin","","","","1305"
"Marie Curie Gymnasium","","","","","","","21445"
"Moser-Schule Berlin","","","","","","","21445"
"Mediencollege Berlin Berufsfachschule","","","","","","","21445"
"Pestalozzi-Schule","","","","","","","21445"
"Primo-Levi-Gymnasium","","","","","","","21445"
"Robert Blum Gymnasium","","","","","","","21445"
"Röntgen Oberschule","","","","","","","21445"
"Schadow Gymnasium","","","","","","","21445"
"Theodor-Haubach-Oberschule","","","","","","","21445"
"Wilma-Rudolph-Schule","","","","","","","21445"
"Wilhelm-von-Siemens-Gymnasium","","","","","","","21445"
"Wolfgang-Borchert-Oberschule","","","","","","","21445"
"Albert Schweitzer Gesamtschule","","","Beeskow","","","","5"
"August-Bebel-Oberschule","","","Frankfurt/Oder","","","","0"
"Barnim Gymnasium Bernau","","","","","","","21445"
"Berufliche Schule Hangelsberg","","","","","","","21445"
"Emil-Fischer-Gymnasium","","","","","","","21445"
"Europaschule Storkow","","","","","","","21445"
"Fachoberschule Dr. P. Rahn und Partner Fürstenwalde","","","","","","","21445"
"Freie Oberschule Baruth","","","","","","","21445"
"Gesamtschule Petershagen","","","","","","","21445"
"Gesamtschule Müncheberg","","","","","","","21445"
"Gesamtschule Woltersdorf","","","","","","","21445"
"Gottlieb-Daimler-Schule","","","Ludwigsfelde","","","","9"
"Grund- und Oberschule Schenkenland","","","","","","","21445"
"Kooperationsschule Friesack","","","","","","","21445"
"Maxim Gorki GS Kleinmachnow","","","","","","","21445"
"Montessori-Oberschule Potsdam","","","","","","","21445"
"Oberstufenzentrum MOL","","","Strausberg","","","","14"
"Rouanet-Gymnasium","","","Beeskow","","","","5"
"Barnim Gymnasium Bernau","","","","","","","21445"
"OSZ Johanna Just Potsdam","","","","","","","21445"
"Adolph-Diesterweg-Oberschule Hennigsdorf","","","","","","","21445"
"Emil-Fischer-Gymnasium","","","Schwarzheide","","","","4"
"Sekundarschule “Adolph-Holst” Müncheln","","","","","","","21445"
"Mosaik-Gymnasium Oberhavel","","","Oranienburg","","","","22"
"Weinberg-Gymnasium Klein-Machnow","","","","","","","21445"
"Erwachsenenschule Bremen","","","","","","","21445"
"Gaußschule II","","","Bremerhaven","","","","48"
"Integrierte Stadtteilschule am Leibnitzplatz","","","","","","","21445"
"Integrierte Stadtteilschule Obervieland","","","","","","","21445"
"Johann-Heinrich-Pestalozzi-Schule Integrierte Stadtteilschule","","","","","","","21445"
"Landesinstitut für Schule – Bremen (LIS)","","","","","","","21445"
"Lehranstalten für Sozialpädagogik und Hauswirtschaft","","","Bremerhaven","","","","48"
"Schule am Leher Markt","","","Bremerhaven","","","","48"
"Schule an der Vegesacker Str.","","","1. Förderschule","","","","0"
"Schule In der Vahr","","","","","","","21445"
"SZ an der Flämischen Straße","","","","","","","21445"
"SZ Findorff","","","","","","","21445"
"SZ Helgolander Straße","","","","","","","21445"
"SZ Helsinkistraße","","","","","","","21445"
"SZ Wilhelm Wagenfeld Straße","","","","","","","21445"
"Wilhelm-Kaisen-Schule","","","","","","","21445"
"Wilhelm-Olbers-Schule","","","","","","","21445"
"Wilhelm-Raabe-Schule","","","Bremerhaven","","","","48"
