"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Grund- und Mittelschule Westerndorf St. Peter","","83024","Rosenheim","","Programm","","Fairtrade Schools","4"
"Grund- und Realschule plus Ludwigshafen-Friesenheim","","67063","Ludwigshafen am Rhein","","Programm","","Fairtrade Schools","0"
"Grundschule am Sonnenbrink","","31655","Stadthagen","","Programm","","Fairtrade Schools","12"
"Grundschule am Wilden Moor, Langen","","27607","Geestland","","Programm","","Fairtrade Schools","6"
"Grundschule Cirksena","","26723","Emden","","Programm","","Fairtrade Schools","4"
"Grundschule Fronberg","","92421","Schwandorf","","Programm","","Fairtrade Schools","15"
"Grundschule Holzheim","","92318","Neumarkt","","Programm","","Fairtrade Schools","17"
"Grundschule Hugo Knauer","","58313","Herdecke","","Programm","","Fairtrade Schools","8"
"Grundschule im Buch","","74321","Bietigheim-Bissingen","","Programm","","Fairtrade Schools","0"
"Grundschule Karlstadt-Wiesenfeld/Karlburg","","97753","Karlstadt","","Programm","","Fairtrade Schools","6"
"Grundschule Kirchheimbolanden","","67292","Kirchheimbolanden","","Programm","","Fairtrade Schools","0"
"Grundschule Langenburg","","74595","Langenburg","","Programm","","Fairtrade Schools","0"
"Grundschule Lohr am Main","","97816","Lohr am Main","","Programm","","Fairtrade Schools","0"
"Grundschule Poltringen","","72119","Ammerbuch","","Programm","","Fairtrade Schools","0"
"Grundschule Rodenkirchen","","26935","Stadland Rodenkirchen","","Programm","","Fairtrade Schools","0"
"Grundschule Schwarzenbruck","","90592","Schwarzenbruck","","Programm","","Fairtrade Schools","5"
"Grundschule Tittmoning","","84529","Tittmoning","","Programm","","Fairtrade Schools","1"
"Gustav- Hertz- Schule Gymnasium der Stadt Leipzig","","4329","Leipzig","","Programm","","Fairtrade Schools","4"
"Gustav-Langenscheidt-Schule","","10823","Berlin","","Programm","","Fairtrade Schools","1"
"Gustav-Stresemann-Wirtschaftsschule","","55131","Mainz","","Programm","","Fairtrade Schools","0"
"Gustav-Woehrnitz-Mittelschule","","97816","Lohr am Main","","Programm","","Fairtrade Schools","0"
"Gutenberg-Gymnasium Bergheim","","50126","Bergheim","","Programm","","Fairtrade Schools","10"
"GWRRS Sontheim","","89567","Sontheim","","Programm","","Fairtrade Schools","0"
"Gymnasium am Kurfürstlichen Schloss","","55116","Mainz","","Programm","","Fairtrade Schools","0"
"Gymnasium am Markt Bünde","","32257","Bünde","","Programm","","Fairtrade Schools","16"
"Gymnasium am Rosenberg","","78727","Oberndorf a. N.","","Programm","","Fairtrade Schools","0"
"Gymnasium am Rotenbühl","","66123","Saarbrücken","","Programm","","Fairtrade Schools","0"
"Gymnasium am Wall","","27283","Verden","","Programm","","Fairtrade Schools","14"
"Gymnasium an der Gartenstraße","","41236","Mönchengladbach","","Programm","","Fairtrade Schools","8"
"Gymnasium bei St. Anna Augsburg","","86159","Augsburg","","Programm","","Fairtrade Schools","8"
"Gymnasium Brandis","","4821","Brandis","","Programm","","Fairtrade Schools","3"
"Gymnasium Buchloe","","86807","Buchloe","","Programm","","Fairtrade Schools","4"
"Gymnasium Dionysianum","","48431","Rheine","","Programm","","Fairtrade Schools","14"
"Gymnasium Donauwörth","","86609","Donauwörth","","Programm","","Fairtrade Schools","11"
"Gymnasium Dörpsweg","","22527","Hamburg","","Programm","","Fairtrade Schools","5"
"Gymnasium Eringerfeld","","59590","Geseke","","Programm","","Fairtrade Schools","10"
"Gymnasium Gerabronn","","74582","Gerabronn","","Programm","","Fairtrade Schools","0"
